u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
20.65617,19.59235,19.44996,19.43056,19.47239,1.063816,0.1423912,0.01939964,-0.04182625,STAR,A0,0.0004479394,54175,1,1,0,1,191.318855103689,29.6459273532032
17.16131,16.2858,16.01063,15.93293,15.92269,0.8755093,0.2751732,0.07769966,0.01024151,STAR,F5,6.705025e-05,53089,1,1,0,1,216.327914366882,37.8421791765099
21.78905,21.27695,21.31141,21.25176,22.03192,0.5120964,-0.03445625,0.05964851,-0.7801571,GALAXY,STARBURST,0.0765494,58488,1,1,0,1,116.338427784964,22.1848840704209
20.22626,18.32022,17.62482,17.35258,17.21646,1.90604,0.6953945,0.2722378,0.1361237,STAR,K3,1.007501e-05,52933,1,1,0,1,329.827260610256,-0.022598380648199
21.90891,21.53771,20.77511,20.65452,20.30481,0.3712044,0.7625942,0.120594,0.3497105,GALAXY,STARBURST,0.3356378,58016,1,1,0,1,253.38090612495,39.8016773172549
21.15906,21.03257,20.7516,20.20545,20.82548,0.1264877,0.2809658,0.5461483,-0.6200275,GALAXY,STARBURST,0.5094562,57063,1,1,0,1,145.754842003421,54.1525378401779
20.29089,20.01231,19.84589,19.7641,19.54613,0.2785778,0.1664181,0.08179665,0.2179623,QSO,BROADLINE,0.9273708,56429,1,1,0,1,182.180585012372,57.6191660213163
18.77236,17.8216,17.53188,17.43155,17.38881,0.9507675,0.2897129,0.100338,0.04273224,STAR,F5,0.0007428281,53350,1,1,0,1,53.9849078388827,-1.02834531132933
18.89283,17.83806,17.78723,17.82643,17.90999,1.054771,0.05083084,-0.03919601,-0.08356094,STAR,A0,0.0002518696,53321,1,1,0,1,344.812833378376,-9.53497371483719
21.48105,20.6475,20.68317,20.61079,20.23564,0.8335495,-0.03567123,0.07238007,0.3751526,QSO,BROADLINE,2.401462,55653,1,1,0,1,216.606055092755,3.49055234899647
20.06543,20.03537,19.83136,19.91289,20.03452,0.030056,0.2040138,-0.08153152,-0.1216316,QSO,BROADLINE,1.313132,51959,1,1,0,1,125.325335184502,45.1104499077241
20.51901,20.35965,20.23087,20.00621,19.97852,0.1593609,0.1287823,0.2246571,0.0276947,QSO,BROADLINE,1.471668,58162,1,1,0,1,178.600013831674,59.9894821365207
22.61187,22.30614,21.39456,21.18655,20.18282,0.3057308,0.9115791,0.2080097,1.003735,GALAXY,AGN,0.3897133,56991,1,1,0,1,123.20481831203,49.5819626873598
24.09535,21.03061,20.53708,20.33935,20.5754,3.064741,0.4935284,0.1977348,-0.2360477,QSO,BROADLINE,3.396301,56592,1,1,0,1,43.9408483021087,-6.76287847861494
21.44854,21.09344,21.08472,21.11236,21.14183,0.3551025,0.008716583,-0.02764511,-0.02946663,GALAXY,STARBURST,0.1870089,55824,1,1,0,1,248.727868618014,32.7284978236128
