#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.16413,17.25239,16.24978,15.80883,15.43526,1.911745,1.002605,0.4409552,0.3735685,GALAXY,BROADLINE,0.1157859,52203,1,1,0,0,350.941029047013,-8.65147024420799
20.65307,19.06201,17.96611,17.68004,17.34314,1.591066,1.095896,0.2860737,0.3369026,GALAXY,BROADLINE,0.2608941,56598,1,1,0,0,137.849384575553,54.2222831895378
16.18728,14.31953,13.49301,13.05951,12.68114,1.867754,0.8265142,0.4334993,0.3783703,GALAXY,BROADLINE,0.02432023,51965,1,1,0,0,141.447761056503,2.08961230424928
17.52028,15.6227,14.74489,14.30392,13.96856,1.89758,0.8778067,0.4409723,0.3353615,GALAXY,BROADLINE,0.05474121,52000,1,1,0,0,141.955513071383,54.5433197711042
19.32193,17.38683,16.29567,15.83115,15.47675,1.935101,1.091162,0.4645224,0.3543978,GALAXY,BROADLINE,0.1440493,51959,1,1,0,0,129.764903606522,48.4079079442725
18.31165,16.51772,15.72329,15.32298,15.03031,1.793922,0.7944288,0.4003162,0.2926655,GALAXY,BROADLINE,0.04813074,52000,1,1,0,0,140.916487831069,54.6265528064401
18.63827,16.71813,15.80108,15.36922,15.02883,1.920137,0.9170465,0.4318666,0.3403835,GALAXY,BROADLINE,0.07178057,55913,1,1,0,0,132.19837487627,50.5996916978584
19.63019,17.92974,17.0507,16.58807,16.28654,1.700453,0.8790417,0.4626274,0.3015327,GALAXY,BROADLINE,0.1491643,52339,1,1,0,0,209.301175954648,3.54227002870831
17.80237,15.92077,15.04797,14.61686,14.28449,1.881595,0.8727989,0.4311113,0.3323755,GALAXY,BROADLINE,0.06332979,56804,1,1,0,0,241.385827307349,53.2160194756712
19.40921,17.53922,16.5096,16.0428,15.69313,1.869986,1.029621,0.4668045,0.3496733,GALAXY,BROADLINE,0.1310803,52281,1,1,0,0,143.888573186403,51.7646258049286
17.41135,15.63006,14.79275,14.36787,14.04248,1.781293,0.837307,0.4248838,0.3253889,GALAXY,BROADLINE,0.04727263,52281,1,1,0,0,146.677632685322,52.6647083427896
20.08163,18.26351,17.25782,16.76512,16.38227,1.818121,1.005697,0.4926987,0.3828526,GALAXY,BROADLINE,0.153943,52281,1,1,0,0,144.105610290971,52.822058377509
20.82833,18.86137,17.54655,17.06388,16.68713,1.966955,1.314823,0.4826736,0.3767471,GALAXY,BROADLINE,0.2193128,52057,1,1,0,0,246.219062057517,44.8800379625624
17.76652,15.95154,15.11062,14.70804,14.42311,1.814975,0.8409185,0.4025812,0.2849302,GALAXY,BROADLINE,0.04834942,52049,1,1,0,0,238.82971678609,53.0643918506264
18.16622,16.27889,15.40559,15.0016,14.68769,1.887335,0.8732967,0.4039879,0.3139153,GALAXY,BROADLINE,0.05149531,52378,1,1,0,0,232.796379366205,51.6300416141194
17.1329,15.25854,14.46587,14.07342,13.78582,1.874359,0.7926674,0.3924541,0.2876005,GALAXY,BROADLINE,0.03031751,52379,1,1,0,0,247.157990937756,41.1639466370068
17.25781,15.63307,14.97023,14.64746,14.42172,1.624747,0.6628304,0.3227787,0.2257347,GALAXY,BROADLINE,0.03095282,52379,1,1,0,0,247.800574754886,40.4866931811924
19.83231,17.91703,16.96169,16.56696,16.22732,1.915274,0.9553471,0.3947258,0.3396416,GALAXY,BROADLINE,0.1233172,54559,1,1,0,0,228.537033064665,1.55604996803516
19.11578,17.19309,16.30246,15.89204,15.54072,1.922688,0.8906307,0.4104185,0.3513231,GALAXY,BROADLINE,0.07615975,55359,1,1,0,0,236.814130375193,1.27589064829542
20.67256,18.56146,17.35956,16.90274,16.58346,2.111103,1.201902,0.4568195,0.3192749,GALAXY,BROADLINE,0.1784598,52379,1,1,0,0,247.353051766801,41.1955106222178
17.87375,15.87471,14.95558,14.49751,14.16546,1.999044,0.9191246,0.4580774,0.3320484,GALAXY,BROADLINE,0.0700653,52378,1,1,0,0,211.720365347301,-1.73019812932008
24.91741,22.01969,20.55263,19.64321,19.39169,2.89772,1.467062,0.9094162,0.2515202,GALAXY,BROADLINE,0.5846929,55361,1,1,0,0,209.831624220729,-2.70359183708374
16.48802,14.72265,13.94729,13.57129,13.29839,1.76537,0.7753601,0.3760052,0.2729006,GALAXY,BROADLINE,0.02310612,52380,1,1,0,0,224.245680200269,-2.11446309758259
19.53739,17.46566,16.41053,15.97138,15.60955,2.071733,1.055128,0.439146,0.3618336,GALAXY,BROADLINE,0.1218659,52465,1,1,0,0,326.513628128439,0.686890322256644
18.86072,16.82323,15.76899,15.2998,14.92446,2.037495,1.054239,0.4691925,0.3753386,GALAXY,BROADLINE,0.09982654,51671,1,1,0,0,248.935055451341,-0.630107537527874
18.75058,16.88826,15.93936,15.47123,15.08412,1.862322,0.9489012,0.4681253,0.3871098,GALAXY,BROADLINE,0.08297773,51609,1,1,0,0,192.058026422373,-0.26851401682979
20.7848,18.87122,17.54193,17.04246,16.66108,1.913578,1.329288,0.4994774,0.381382,GALAXY,BROADLINE,0.2106329,51671,1,1,0,0,248.902464180673,-0.25440386615437
22.07045,21.19708,20.31462,19.58795,19.22565,0.8733711,0.8824577,0.7266712,0.3623009,GALAXY,BROADLINE,0.6106669,55302,1,1,0,0,164.510373006451,-0.913093421968199
18.62067,16.75368,15.87535,15.46164,15.13254,1.866991,0.8783312,0.4137125,0.329093,GALAXY,BROADLINE,0.07349375,52000,1,1,0,0,140.924823374642,0.324678201955149
19.84005,17.89287,16.91783,16.47423,16.11384,1.947174,0.9750481,0.4435921,0.3603954,GALAXY,BROADLINE,0.09711574,51910,1,1,0,0,151.693849723183,0.290126830875045
20.52514,18.2219,17.07116,16.59755,16.24215,2.303234,1.15074,0.4736156,0.3553925,GALAXY,BROADLINE,0.1593311,51943,1,1,0,0,178.454607402161,0.378824073859039
19.64931,17.58488,16.45645,15.98372,15.60543,2.064421,1.128435,0.4727306,0.3782854,GALAXY,BROADLINE,0.1280003,51871,1,1,0,0,12.5828140813459,13.7632937424527
17.30233,15.51589,14.64215,14.20355,13.87519,1.786447,0.8737392,0.4385996,0.3283558,GALAXY,BROADLINE,0.07363894,51898,1,1,0,0,22.6058598760374,13.2280704286966
22.89258,20.94722,19.2457,18.52268,18.35417,1.945362,1.701513,0.7230225,0.1685085,GALAXY,BROADLINE,0.4177352,51900,1,1,0,0,31.5666938705522,13.6806476200238
18.04984,16.09336,15.23744,14.81805,14.47864,1.956476,0.8559227,0.4193907,0.3394127,GALAXY,BROADLINE,0.06013622,51924,1,1,0,0,48.8571876286239,-6.02646741947932
24.67989,20.88371,19.10242,18.36981,17.99401,3.796175,1.781298,0.7326088,0.3757954,GALAXY,BROADLINE,0.4165567,52316,1,1,0,0,175.073323144794,64.9219712191372
19.60931,17.75224,16.62053,16.12205,15.76805,1.857065,1.131716,0.4984722,0.3539982,GALAXY,BROADLINE,0.1646255,52059,1,1,0,0,171.571195847872,65.1396639577496
20.23492,18.12133,16.98989,16.48792,16.07856,2.113585,1.131443,0.5019741,0.4093571,GALAXY,BROADLINE,0.1499636,52376,1,1,0,0,158.678774206078,62.4087207060557
