#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
18.96619,17.92684,17.64786,17.39752,17.32143,1.039351,0.2789879,0.2503338,0.07609558,GALAXY,STARBURST,0.05394428,51868,1,1,0,0,123.532710622911,46.2698600234763
17.14465,16.2186,15.74969,15.43137,15.20753,0.9260578,0.4689102,0.3183165,0.2238436,GALAXY,STARBURST,0.04930476,51868,1,1,0,0,123.686387171942,46.414966514374
18.68379,17.81124,17.60202,17.33889,17.32453,0.8725529,0.209219,0.263134,0.01435852,GALAXY,STARBURST,0.08996506,51915,1,1,0,0,148.056822718104,60.0732226996493
21.89466,21.55446,20.68124,20.27394,20.08131,0.3402004,0.8732166,0.4073086,0.192625,GALAXY,STARBURST,0.4607133,57544,1,1,0,1,240.962258213492,52.05551231663
22.18627,21.68238,21.8999,21.80238,21.41031,0.5038929,-0.2175179,0.09751892,0.392067,GALAXY,STARBURST,0.03067494,58287,1,1,0,1,249.607785675979,44.4964468972799
19.38323,18.34013,17.69578,17.23725,17.01583,1.043097,0.6443558,0.4585323,0.2214184,GALAXY,STARBURST,0.1350493,56244,1,1,0,0,121.496358582355,45.7485836696032
19.42377,18.77785,18.65244,18.35809,18.33411,0.6459293,0.1254025,0.2943535,0.02398109,GALAXY,STARBURST,0.0951309,51910,1,1,0,0,144.33032024035,60.5687308967913
19.703,18.93046,18.47383,18.20777,18.17103,0.7725372,0.4566364,0.2660561,0.03674316,GALAXY,STARBURST,0.157132,51910,1,1,0,0,145.931110665455,61.0567870012931
20.39352,19.56625,18.94259,18.77126,18.4461,0.8272743,0.623661,0.1713295,0.3251629,GALAXY,STARBURST,0.2875007,53795,1,1,0,0,146.768558322404,61.3791799470583
21.0536,20.64685,20.05981,19.86659,19.88433,0.4067516,0.5870399,0.1932201,-0.01774216,GALAXY,STARBURST,0.4410881,57071,1,1,0,1,133.245986812509,55.8759310540783
19.98472,19.27456,18.66249,18.33629,18.21935,0.7101669,0.6120625,0.3262062,0.1169395,GALAXY,STARBURST,0.231698,51883,1,1,0,0,127.124478988606,52.8914375063651
18.85895,17.63639,17.28932,17.01903,16.90478,1.222561,0.3470688,0.2702923,0.114254,GALAXY,STARBURST,0.04207562,51883,1,1,0,0,127.501460566473,53.1552194155836
19.60684,18.19131,17.5645,17.13587,16.91801,1.415533,0.6268063,0.4286308,0.2178631,GALAXY,STARBURST,0.1509923,51883,1,1,0,0,127.836015503335,53.2993624844867
20.18608,19.52151,19.22128,18.97206,18.9593,0.6645699,0.3002262,0.2492256,0.01276398,GALAXY,STARBURST,0.1572989,51942,1,1,0,0,166.981042581046,67.4880773912138
20.19652,19.4811,18.63078,18.35159,18.0322,0.7154236,0.850317,0.2791939,0.3193913,GALAXY,STARBURST,0.3398426,51942,1,1,0,0,167.390174412924,67.4433824396458
18.92241,18.04993,17.71786,17.4878,17.42302,0.8724785,0.3320656,0.2300606,0.06478119,GALAXY,STARBURST,0.1366263,51942,1,1,0,0,169.440843548191,67.7059698612574
21.95204,21.49221,20.58623,20.33402,19.78005,0.4598312,0.9059849,0.2522049,0.5539742,GALAXY,STARBURST,0.3584815,56715,1,1,0,1,123.622195150185,49.1394626151157
21.41284,21.3372,20.15928,19.65564,19.5171,0.075634,1.177927,0.5036335,0.138546,GALAXY,STARBURST,0.5179178,56270,1,1,0,0,118.175003373823,44.2492267370499
22.69383,21.6512,20.76705,20.62668,20.55517,1.042631,0.8841419,0.1403694,0.07151222,GALAXY,STARBURST,0.5280073,56715,1,1,0,1,123.450556102787,49.5069894079233
22.09734,21.26241,20.22428,19.71113,19.35543,0.8349266,1.038132,0.5131512,0.3556995,GALAXY,STARBURST,0.4634258,56270,1,1,0,0,118.078487009982,45.5614285364385
19.79023,18.95637,18.53312,18.15709,18.13236,0.8338604,0.4232559,0.3760262,0.02472687,GALAXY,STARBURST,0.1703439,51955,1,1,0,0,203.085594357162,-0.613934191412372
18.64218,17.7519,17.32294,16.8413,16.82278,0.890276,0.4289627,0.481638,0.01852226,GALAXY,STARBURST,0.1374485,51910,1,1,0,0,145.923989450289,60.8552325002877
19.0914,18.05512,17.70372,17.37392,17.24498,1.036272,0.351408,0.329792,0.1289406,GALAXY,STARBURST,0.07596014,51910,1,1,0,0,146.352596952035,60.8624393227188
19.15378,18.13281,17.86568,17.61718,17.64672,1.020975,0.267128,0.2484951,-0.02954102,GALAXY,STARBURST,0.08275948,51929,1,1,0,0,165.994089611449,65.2542368180793
18.76411,17.66577,17.29842,17.14388,16.9834,1.098333,0.3673534,0.1545391,0.1604824,GALAXY,STARBURST,0.04220975,51910,1,1,0,0,144.56600917221,60.682602622379
18.47037,17.32932,16.84336,16.45338,16.30473,1.141041,0.4859638,0.3899765,0.1486588,GALAXY,STARBURST,0.08311407,51929,1,1,0,0,167.758399846627,65.9187127635045
21.12615,20.53219,20.70365,21.13481,20.6156,0.5939655,-0.1714592,-0.43116,0.519207,GALAXY,STARBURST,0.02798345,56748,1,1,0,1,193.046092152086,66.7910632381103
18.69697,17.38111,16.87463,16.55835,16.33579,1.315857,0.5064774,0.3162842,0.2225552,GALAXY,STARBURST,0.04533719,51955,1,1,0,0,176.300768807769,67.1180350497181
18.09559,17.0079,16.68497,16.43391,16.30166,1.087692,0.3229294,0.2510624,0.1322479,GALAXY,STARBURST,0.05628434,51942,1,1,0,0,169.073193681289,66.9952347539597
19.04592,18.10608,17.77169,17.49428,17.29328,0.939846,0.334383,0.2774086,0.2010078,GALAXY,STARBURST,0.0806174,51930,1,1,0,0,161.270729471372,66.4099566974565
19.03208,18.19319,18.08987,17.76854,17.87574,0.8388824,0.103323,0.3213291,-0.1072006,GALAXY,STARBURST,0.07092213,51942,1,1,0,0,168.232061358599,67.4575749483069
21.99632,20.99805,20.36408,20.02892,19.61804,0.9982681,0.6339703,0.3351631,0.4108772,GALAXY,STARBURST,0.2749045,58251,1,1,0,1,243.604205611203,52.6109472591978
19.57032,18.21939,17.70478,17.35172,17.11676,1.350929,0.5146084,0.3530579,0.2349586,GALAXY,STARBURST,0.06404925,51942,1,1,0,0,170.81832652351,68.0315802441002
21.8066,21.24145,20.19089,19.87484,19.49145,0.5651455,1.050562,0.3160477,0.3833885,GALAXY,STARBURST,0.3897061,56804,1,1,0,0,241.896187547202,54.5533786346117
21.6573,21.00887,20.28143,20.02097,19.76945,0.648428,0.7274437,0.260458,0.2515144,GALAXY,STARBURST,0.3911543,56804,1,1,0,0,242.209520962985,54.3701089152863
21.92016,21.53219,20.74148,20.67805,20.46775,0.38797,0.7907124,0.06342888,0.2102966,GALAXY,STARBURST,0.3650134,58287,1,1,0,1,249.911192952429,44.5502854247778
19.65488,18.29066,17.58477,17.08637,16.85303,1.364216,0.7058926,0.4983997,0.2333431,GALAXY,STARBURST,0.1229082,52144,1,1,0,0,248.328708616825,47.1274486056353
17.24077,16.38707,15.99754,15.88598,15.76954,0.8536987,0.3895292,0.1115665,0.1164331,GALAXY,STARBURST,0.008180379,52144,1,1,0,0,248.666122430374,46.9603595588099
22.09851,21.80409,21.90962,21.97484,20.91296,0.2944202,-0.1055279,-0.06521416,1.06188,GALAXY,STARBURST,0.0318797,57186,1,1,0,1,248.157637738549,48.0557403163432
17.92741,16.98885,16.52565,16.0749,15.8936,0.9385586,0.4632053,0.4507504,0.1812963,GALAXY,STARBURST,0.08552404,52144,1,1,0,0,248.503893880912,47.8330697618017
21.73295,21.46641,21.42656,21.57961,21.43907,0.2665367,0.03985023,-0.1530495,0.1405411,GALAXY,STARBURST,0.1394889,57186,1,1,0,1,248.099908052922,48.7827643184378
17.87559,17.20599,16.9414,16.59247,16.56745,0.6695957,0.2645893,0.3489361,0.0250206,GALAXY,STARBURST,0.08818676,52288,1,1,0,0,187.92410925897,1.54584457051707
19.62742,18.89686,18.51293,18.17122,18.16512,0.730566,0.3839302,0.341711,0.006099701,GALAXY,STARBURST,0.1852773,52288,1,1,0,0,188.277882472778,1.49643091366176
22.56247,20.91684,20.17889,19.4895,19.02205,1.645628,0.7379475,0.6893902,0.4674549,GALAXY,STARBURST,0.1973638,55653,1,1,0,0,187.360086437328,2.02725388217508
19.12554,18.14611,17.48587,17.06428,16.89974,0.9794331,0.6602364,0.4215965,0.1645317,GALAXY,STARBURST,0.2076351,52288,1,1,0,0,188.052235523391,1.92834494880037
19.35678,18.16211,17.82151,17.61466,17.48881,1.194666,0.3405991,0.2068481,0.1258526,GALAXY,STARBURST,0.07280055,52024,1,1,0,0,219.89338035993,1.52407840892128
22.35833,21.00651,20.07489,19.36895,19.19918,1.351814,0.9316273,0.7059326,0.1697693,GALAXY,STARBURST,0.559656,55624,1,1,0,0,225.209261689268,1.43752060274223
18.6899,17.71289,17.40575,17.14157,17.00504,0.9770107,0.3071365,0.264185,0.136528,GALAXY,STARBURST,0.07539789,52288,1,1,0,0,188.234807039717,2.37834577894924
18.22271,17.27507,16.95572,16.74811,16.61889,0.9476414,0.3193493,0.2076111,0.129221,GALAXY,STARBURST,0.07702374,52288,1,1,0,0,188.255719731203,2.33457948693294
19.5127,18.20287,17.76162,17.43819,17.32174,1.30983,0.4412479,0.3234329,0.1164474,GALAXY,STARBURST,0.1056484,52017,1,1,0,0,225.641199152616,2.25794196522171
17.18612,15.89796,15.26233,14.91054,14.68967,1.288167,0.6356287,0.3517895,0.2208652,GALAXY,STARBURST,0.03173366,52017,1,1,0,0,225.88361502674,2.22567815082703
19.21006,18.24834,17.74561,17.36111,17.26497,0.9617157,0.502737,0.384491,0.09613991,GALAXY,STARBURST,0.1288263,52381,1,1,0,0,187.495471490488,3.60002069055622
19.72994,19.05526,18.86337,18.46818,18.62448,0.6746807,0.1918907,0.3951969,-0.1562996,GALAXY,STARBURST,0.1036107,51957,1,1,0,0,158.006659026418,1.04475782001509
18.27192,17.33022,16.95825,16.63277,16.53946,0.9416981,0.371973,0.3254776,0.09331512,GALAXY,STARBURST,0.07659877,52288,1,1,0,0,188.026315210624,1.40455484456139
18.29461,17.28779,16.9329,16.66338,16.60221,1.006828,0.3548832,0.2695274,0.06116104,GALAXY,STARBURST,0.06317331,52288,1,1,0,0,188.166762088517,2.24500243625404
18.96053,17.88686,17.47405,17.1794,17.06134,1.073666,0.4128132,0.2946491,0.1180553,GALAXY,STARBURST,0.09137689,52024,1,1,0,0,219.786299613885,1.68819997969728
19.5983,18.38155,17.99708,18.02012,18.12553,1.216755,0.3844662,-0.02303696,-0.1054096,GALAXY,STARBURST,0.03356741,52024,1,1,0,0,220.698300558773,1.72094322496962
16.46867,15.49012,14.95347,14.67429,14.44743,0.9785557,0.5366478,0.2791767,0.2268677,GALAXY,STARBURST,0.02875262,51989,1,1,0,0,173.692724859014,2.92105088161617
20.02763,19.26865,18.74946,18.40997,18.33376,0.7589779,0.5191917,0.3394966,0.0762043,GALAXY,STARBURST,0.176082,51989,1,1,0,0,174.216945036722,3.03162468345638
17.49117,16.5682,16.23196,15.92441,15.84248,0.9229736,0.336235,0.3075504,0.08193111,GALAXY,STARBURST,0.0778644,52028,1,1,0,0,209.687785976124,3.22740412186539
18.26404,17.01727,16.4103,16.05912,15.80959,1.246771,0.606966,0.351181,0.249526,GALAXY,STARBURST,0.0608576,52023,1,1,0,0,219.554316920007,4.2683806447052
18.73913,17.79242,17.43124,17.19063,17.08599,0.9467106,0.3611736,0.2406101,0.1046391,GALAXY,STARBURST,0.0575494,52023,1,1,0,0,219.772136207194,4.57471637017435
17.9126,16.8031,16.26768,15.94352,15.76641,1.109499,0.5354176,0.3241606,0.1771154,GALAXY,STARBURST,0.05642506,52049,1,1,0,0,215.724406274116,5.18345040143954
19.03316,17.84823,17.27803,16.87487,16.66979,1.184921,0.5702057,0.4031601,0.2050819,GALAXY,STARBURST,0.08532439,52203,1,1,0,0,334.007464310138,-9.17678513003399
18.69983,17.80374,17.35794,17.08221,16.8886,0.8960876,0.4458008,0.2757339,0.1936073,GALAXY,STARBURST,0.06383418,52203,1,1,0,0,334.096921089401,-9.07859707709253
19.67066,18.73632,18.42785,18.13831,18.15325,0.9343414,0.3084755,0.2895355,-0.01493835,GALAXY,STARBURST,0.09453472,54465,1,1,0,0,22.2092399474245,-10.3770028676532
18.4796,17.60458,17.36414,17.13262,17.08836,0.875021,0.2404327,0.2315197,0.04426003,GALAXY,STARBURST,0.08808603,52553,1,1,0,0,353.845257267152,-10.6521691794694
19.60953,18.06729,17.67753,17.45535,17.18726,1.542233,0.3897591,0.222187,0.2680855,GALAXY,STARBURST,0.07011098,52203,1,1,0,0,351.47962485926,-9.98216950484355
18.7305,17.70633,17.19289,16.83121,16.60512,1.024166,0.5134373,0.3616867,0.2260857,GALAXY,STARBURST,0.09481477,52553,1,1,0,0,353.738854688876,-10.1507754704878
19.0221,18.09438,17.64137,17.30997,17.1901,0.9277267,0.4530067,0.3314018,0.1198692,GALAXY,STARBURST,0.1383594,52553,1,1,0,0,354.370408008363,-10.1133815700713
18.86166,17.89701,17.60513,17.23397,17.23151,0.964653,0.2918777,0.3711586,0.002462387,GALAXY,STARBURST,0.07988315,52553,1,1,0,0,354.159829003924,-10.9448100632898
18.06605,17.0878,16.75473,16.45669,16.3624,0.9782486,0.3330746,0.2980347,0.0942955,GALAXY,STARBURST,0.08699141,51908,1,1,0,0,37.6302740826496,-9.67606610442663
