u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.10606,18.16381,17.87838,17.79386,17.78317,0.9422569,0.2854271,0.08451843,0.01069069,STAR,F5,-0.0005435168,53237,1,1,0,1,319.955610151874,10.6564301936481
19.19599,17.66279,17.06792,16.87701,16.80507,1.533201,0.5948639,0.1909161,0.07193756,STAR,F9,-7.992184e-05,53741,1,1,0,1,23.7005855006555,1.08825306948538
19.82664,18.59877,18.17529,18.05975,18.02691,1.227875,0.4234772,0.1155415,0.03283501,STAR,F9,5.771837e-05,54828,1,1,0,1,129.479472116072,47.0595238147552
18.02586,17.1944,16.95736,16.89529,16.89388,0.8314629,0.2370453,0.06206512,0.001413345,STAR,A0,0.0004067013,54552,1,1,0,1,183.050340299637,19.9343258211951
18.50539,17.26577,16.71692,16.47906,16.40906,1.239614,0.5488548,0.2378597,0.06999588,STAR,G0 (63791),0.0002322117,56768,1,1,0,1,117.574053450002,24.0098888112674
18.70027,17.8499,17.5648,17.46405,17.47007,0.8503723,0.2850952,0.1007519,-0.0060215,STAR,F3/F5V (30743),9.493063e-05,56011,1,1,0,1,149.222716208552,54.8597427261433
18.15273,16.11908,15.30844,15.03301,14.89673,2.033644,0.8106432,0.2754307,0.1362734,STAR,K3,2.206626e-05,54471,1,1,0,1,172.811893417469,0.339870427770702
20.08851,19.16017,18.79447,18.71224,18.68683,0.9283447,0.3657017,0.08222389,0.02541351,STAR,F3/F5V (30743),0.0006025616,56715,1,1,0,1,122.259902212099,45.8579192039354
16.86183,15.37986,14.82035,14.51386,14.49221,1.481978,0.5595074,0.3064919,0.02164459,STAR,F9,-3.288786e-05,54612,1,1,0,1,240.110891936344,5.70391161280101
18.72346,17.83913,17.50582,17.37372,17.32129,0.8843384,0.3333111,0.1320972,0.05242729,STAR,F5,0.0006261541,54832,1,1,0,1,127.497962880384,15.0845378146343
21.80178,20.57358,20.31448,20.02706,19.84523,1.228203,0.2591019,0.2874222,0.1818314,STAR,G0 (63791),-0.0001856152,55828,1,1,0,1,345.253042649417,-2.78721084377063
